monitoring_location,stn_code,latitude,longitude,geocode_query,geocoded
"Hand Pump Water At D.M Office, Kishanganj",2588,26.0931813,87.9423085,"office kishanganj, Bihar, India",True
"Hand Pump Water Near D.M Office, Madhepura",2589,25.9080179,86.7264154,"office madhepura, Bihar, India",True
"Tap Water Inside The Campus Of Tourist Cafeteria, Nalanda",2591,25.3832144,85.5072997,"cafeteria nalanda, Bihar, India",True
Nawada-Hand Pump Water At Collectriate Campus,2593,24.7955599,85.0085612,"campus, Bihar, India",True
Samastipur-Hand Pump Water Colleectriate Campus,2595,24.7955599,85.0085612,"campus, Bihar, India",True
Siwan-Borewell Water At Collectriate Campus,2597,24.7955599,85.0085612,"campus, Bihar, India",True
Well-2 Rohtas Handpump Water At Bus Stand Sasaram,2599,24.955113,84.0154386,"stand sasaram, Bihar, India",True
Arrah(Bhojpur)-Bore Well Water At Station Road Near Railway Station,3138,25.5977248,85.2042559,"station railway station, Bihar, India",True
Bettiah- Handpump Water At Railway Station,3140,25.5977248,85.2042559,"railway station, Bihar, India",True
Bikramganj –Handpump Water At Bus Stand Chawk,3142,26.0385569,85.5527059,"chawk, Bihar, India",True
Bagaha- Hand Pump Water At Bagaha Bazar,3143,25.6058865,85.1737634,"bazar, Bihar, India",True
Barh-Handpump Water Near A.N.S. College Barh,3144,25.4735678,85.7061688,"a.n.s. barh, Bihar, India",True
"Dumraon- Bore Well Water At Pani Tanki, Buxar",3146,25.5044834,84.1097525,"buxar, Bihar, India",True
Jamalpur-Hanpdump Water At Police Station,3148,25.5429613,87.5676383,"police station, Bihar, India",True
Kudra-Handpump Water At Railway Station,3149,25.5977248,85.2042559,"railway station, Bihar, India",True
Maner-Handpump Water At Main Road Near Kali Mandir,3150,25.5904461,85.1626229,"kali mandir, Bihar, India",True
Narkatiaganj-Handpump Water At Bus Stand,3152,26.3529931,86.0746366,"stand, Bihar, India",True
Gaya Tape Water Sample At Ramkund,3154,,,,False
Supual-Hand Pump Water At Bus Stand,3155,26.3529931,86.0746366,"stand, Bihar, India",True
Samastipur-Handpump Water At Bus Stand,3156,26.3529931,86.0746366,"stand, Bihar, India",True
Sherghati-Borewell Water At Bus Stand,3158,26.3529931,86.0746366,"stand, Bihar, India",True
Raxaul-Hand Pump Water At Bus Stand,3160,26.3529931,86.0746366,"stand, Bihar, India",True
Katihar-Hand Pump Water At Bus Stand,3161,26.3529931,86.0746366,"stand, Bihar, India",True
Vaishali-Handpump Water At Vaishali Block,3162,25.1676972,83.6208402,"block, Bihar, India",True
"Kawar Lake, Begusarai, Bihar",2557,25.4186441,86.1272304,"begusarai bihar, Bihar, India",True
"Tighi Talab At Gaya, Bihar",2573,24.773668,85.0001344,"talab gaya bihar, Bihar, India",True
"Ganga At U/S Jail Ghat, Buxar (D/S Confluence Of Thora River)",10113,,,,False
Arrah- Chapra Road Bridge (Koilwer Banura-Chapra Road),10162,25.7733443,84.7849772,"chapra, Bihar, India",True
"Ganga At The Confluence Of Sone River Doriganj, Chapra",2564,25.7733443,84.7849772,"chapra, Bihar, India",True
"Ganga At Maa Ambika Asthan, Aami, Saran",10114,25.9214451,84.7759731,"saran, Bihar, India",True
Ganga River Near Danapur (Near Pipapul),3114,,,,False
"Ganga At Khurji, Patna U/S",1077,25.6093239,85.1235252,"patna, Bihar, India",True
"Ganga At Gulbi Ghat, Patna",10115,25.5876533,85.238043,"ghat patna, Bihar, India",True
Ganga At Patna D/S (Ganga Bridge),1079,25.5970663,85.240897,"ganga patna ganga, Bihar, India",True
River Ganga At Triveni Ghat,10122,25.6996142,85.1352099,"ghat, Bihar, India",True
Ganga River At Barh,3115,25.4509766,85.7002486,"barh, Bihar, India",True
River Ganga At D/S Nawadaghat,10130,,,,False
River Ganga At U/S Barahpur Bindtoli,10131,,,,False
Ganga At Mokama (U/S),1817,25.3958052,85.9220644,"mokama, Bihar, India",True
Ganga At Mokama (D/S),1815,25.3958052,85.9220644,"mokama, Bihar, India",True
Ganga River At Barahia,3123,,,,False
Ganga At U/S Munger,3116,25.2202864,86.5161484,"munger, Bihar, India",True
Ganga At U/S Sultanganj,3117,25.2414966,86.7349906,"sultanganj, Bihar, India",True
River Ganga At Champanagar,10138,,,,False
River Ganga D/S Near Cremation Ghat,10143,25.6996142,85.1352099,"ghat, Bihar, India",True
Sone River Near Banzari,3121,,,,False
"Gandak At Sonepur, Patna (B/C Ganga)",1078,25.5970663,85.240897,"patna ganga, Bihar, India",True
Burhi Gandak At Z Road Bridge,2570,26.2649007,85.2338941,"burhi gandak, Bihar, India",True
Burhi Gandak River U/S Road Bridge Muzaffarpur (Nh),3124,26.2649007,85.2338941,"gandak river muzaffarpur, Bihar, India",True
Gandak River Gopalganj Piprakothi Road Bridge (Dumaria Ghat),3125,25.6996142,85.1352099,"ghat, Bihar, India",True
"Sikrahna River At Lal Parse, Bittiah",2575,,,,False
Sikrahna At Chanpatiya,1820,,,,False
"Sikrahna River At Laurea, Harinagar Road Bridge",3134,27.156368,84.3244117,"harinagar, Bihar, India",True
Harbora River At Narkatiaganj,2558,27.0968882,84.4585344,"narkatiaganj, Bihar, India",True
U/S Harbora River,3126,,,,False
Kamala River At Benipatti (Madhubani),2567,26.3455634,85.8601554,"river benipatti madhubani, Bihar, India",True
Kamala River At Darbhanga,2569,26.2095494,85.8450991,"river darbhanga, Bihar, India",True
Kamala River At Jaynagar,3133,26.5902775,86.1356516,"jaynagar, Bihar, India",True
"Manusmar River At Riga, Sitamarhi",2563,26.6233704,85.3980911,"riga sitamarhi, Bihar, India",True
Koshi River At Kurshela At Katihar,2565,25.5586421,87.6457196,"katihar, Bihar, India",True
Koshi River At Madhepura,2566,25.8794585,86.7716341,"koshi river madhepura, Bihar, India",True
Koshi River At Beerpur,3137,,,,False
D/S Daha River At Sasamusa,2560,,,,False
"Daha River At Itwa Bridge, Siwan",2561,26.131008,84.3910745,"siwan, Bihar, India",True
Daha River At Meerganj,3129,,,,False
"Dhous At Madhuvapur, Madhubani",1823,26.3503076,86.2296424,"madhubani, Bihar, India",True
Ramrekha River At Harinagar,2559,27.156368,84.3244117,"harinagar, Bihar, India",True
Ramrekha River At U/S Harinagar,3130,27.156368,84.3244117,"harinagar, Bihar, India",True
Sirsiya At Raxaul,1822,26.9868738,84.8447219,"raxaul, Bihar, India",True
Bagmati River At Muzaffarpur Sitamarhi Road Bridge,3132,26.5942841,85.500428,"sitamarhi, Bihar, India",True
"Bagmati River At Darbanga, Samastipur Road Bridge",3135,25.7747885,85.8672314,"samastipur, Bihar, India",True
U/S Manusmar River (Riga),3131,25.7918793,87.6807366,"river riga, Bihar, India",True
Poonpun River Near Poonpun Rail Bridge,3119,25.8027508,85.0398985,"rail, Bihar, India",True
Poonpun River Near Kinzer Road Bridge,3120,,,,False
Sirsa River D/S Raxaul (Koeria Tola),3136,24.6852952,86.2001413,"tola, Bihar, India",True
"Sone At Indrapuri, Dehri On Sone",2556,24.9057108,84.1771979,"dehri sone, Bihar, India",True
Gandak At Konhara Ghat,10126,25.6996142,85.1352099,"ghat, Bihar, India",True
"Gandak At Road Bridge, U/S Hajipur",10163,25.6905702,85.2090351,"hajipur, Bihar, India",True
1842,GEN-57C053,21.6741812,76.3816799,"1842, Bihar, India",True
1843,GEN-488824,21.6741812,76.3816799,"1843, Bihar, India",True
2583,GEN-EAA52F,21.6741812,76.3816799,"2583, Bihar, India",True
2586,GEN-C57168,21.6741812,76.3816799,"2586, Bihar, India",True
3139,GEN-E8BF0F,21.6741812,76.3816799,"3139, Bihar, India",True
3143,GEN-0AFA92,21.6741812,76.3816799,"3143, Bihar, India",True
3146,GEN-5D4AE7,21.6741812,76.3816799,"3146, Bihar, India",True
3154,GEN-FDBD31,21.6741812,76.3816799,"3154, Bihar, India",True
3155,GEN-B22B25,21.6741812,76.3816799,"3155, Bihar, India",True
3156,GEN-2227D7,21.6741812,76.3816799,"3156, Bihar, India",True
3158,GEN-55D99A,21.6741812,76.3816799,"3158, Bihar, India",True
3161,GEN-29539E,21.6741812,76.3816799,"3161, Bihar, India",True
2557,GEN-168082,21.6741812,76.3816799,"2557, Bihar, India",True
2573,GEN-60519C,21.6741812,76.3816799,"2573, Bihar, India",True
Bihar,INLET TO STP,25.1672903,85.5502398,"bihar, Bihar, India",True
Arrah-Chhapra Road Bridge (Koilwer Banura- Chhapra),10162,25.7733443,84.7849772,"chhapra, Bihar, India",True
Ganga At The Confluence Of Sone River Doriganj,2564,,,,False
"Bakhtiyarpur- Tajpur Bridge On Ganga, Athmalgola",4301,25.5022501,85.6892339,"ganga athmalgola, Bihar, India",True
"Sone At Koelwar, Bihar",1075,25.5693726,84.7927554,"koelwar bihar, Bihar, India",True
"Sone River Near Banzari, Bihar",3121,25.1672903,85.5502398,"bihar, Bihar, India",True
"Sone River At Bahiyara, Bihar",3127,25.5345016,84.7600817,"bahiyara bihar, Bihar, India",True
"Sone River At Nasiriganj Dam, Bihar",3128,25.1672903,85.5502398,"bihar, Bihar, India",True
"Gandak At Sonepur, Patna (Before Confl.), Bihar",1078,25.1672903,85.5502398,"bihar, Bihar, India",True
"Gandak At Rewaghat, Mujaffarpur, Bihar",2568,25.1672903,85.5502398,"bihar, Bihar, India",True
"Gandak At Samastipur Road Bridge, Bihar",2570,25.8613568,85.8038414,"gandak samastipur bihar, Bihar, India",True
Gandak River Gopalganj Piprakothi Road Bridge (Dum,3125,26.5673125,84.9498755,"piprakothi, Bihar, India",True
"Burhi Gandak At Akharaghat, Muzaffarpur, Bihar",2562,26.1042434,85.3990429,"muzaffarpur bihar, Bihar, India",True
"Harbora River At Narkatiaganj, Bihar",2558,27.0968882,84.4585344,"narkatiaganj bihar, Bihar, India",True
"U/S Harbora River, Bihar",3126,25.1672903,85.5502398,"bihar, Bihar, India",True
"Kamala River At Benipatti (Madhubani), Bihar",2567,26.4434731,85.9104806,"benipatti madhubani bihar, Bihar, India",True
"Kamala River At Jaynagar, Bihar",3133,26.5902775,86.1356516,"jaynagar bihar, Bihar, India",True
"Manusmar River At Riga, Sitamarhi, Bihar",2563,26.6233704,85.3980911,"riga sitamarhi bihar, Bihar, India",True
"Koshi River At Kurshela At Katihar, Bihar",2565,25.5361066,87.5730583,"katihar bihar, Bihar, India",True
"Koshi River At Beerpur, Bihar",3137,25.1672903,85.5502398,"bihar, Bihar, India",True
"Daha River At Meerganj, Bihar",3129,25.1672903,85.5502398,"bihar, Bihar, India",True
"Farmar At Jogbani, Bihar",1824,26.3826806,87.2609063,"jogbani bihar, Bihar, India",True
"Ram Rekha River At Harinagar,",2559,27.156368,84.3244117,"harinagar, Bihar, India",True
"Ramrekha River At U/S Harinagar, Bihar",3130,27.1562642,84.3243143,"harinagar bihar, Bihar, India",True
"Siriswaa At Ruxol,",1822,,,,False
"Siriswa River D/S Raxaul (Koeria Tola), Bihar",3136,24.6852952,86.2001413,"tola bihar, Bihar, India",True
Bagmati River At Muzaffarpur-,3132,26.1482548,85.3316097,"muzaffarpur, Bihar, India",True
