monitoring_location,stn_code,latitude,longitude,geocode_query,geocoded
Ravi At U/S Chamba,1089,32.6923316,76.1631552,"chamba, Himachal Pradesh, India",True
Ravi At At Chamera Reservoir,2614,32.003759,76.0493876,"reservoir, Himachal Pradesh, India",True
Ravi At At D/S Chamera Iii Hep,2615,31.1550312,77.5138879,"chamera, Himachal Pradesh, India",True
Ravi At D/S Of Chamba Town,2613,32.2458877,77.1903951,"town, Himachal Pradesh, India",True
River Ravi U/S Stp Barga (Chamba),3873,32.6923316,76.1631552,"chamba, Himachal Pradesh, India",True
River Ravi D/S Stp Bhagot (Chamba),3874,32.5377869,76.0873711,"bhagot chamba, Himachal Pradesh, India",True
Swan River U/S Gagret,3856,31.6620976,76.0624707,"gagret, Himachal Pradesh, India",True
Swan River D/S Gagret,3857,31.6620976,76.0624707,"gagret, Himachal Pradesh, India",True
Swan River U/S Santoshgarh Bridge,3858,,,,False
Swan River U/S Una Town Ghalluwal Bridge,3859,,,,False
Parvati Before Conf. To River Beas,1290,32.2397708,77.1910992,"river beas, Himachal Pradesh, India",True
Parvati At U/S Manikaran,2605,32.0107993,77.3159503,"parvati manikaran, Himachal Pradesh, India",True
Parvati At D/S Manikaran,2606,32.0107993,77.3159503,"parvati manikaran, Himachal Pradesh, India",True
"Largi At D/S,",1090,,,,False
"Sirsa River , U/S Sitomajri Nallahgarh",1551,,,,False
"Sirsa River, D/S Nalagarh Bridge",1552,31.16107,76.7978526,"river nalagarh, Himachal Pradesh, India",True
Sirsa River At D/S Nalagarh Distt. Solan,1868,31.1059814,76.6567018,"nalagarh distt. solan, Himachal Pradesh, India",True
Swan River At D/S Nangal Distt. Una,1869,31.3918028,76.2835593,"swan river nangal distt. una, Himachal Pradesh, India",True
Siuel At D/S Surgani,2616,,,,False
Suketi Khad At D/S Mandi,2607,31.6196286,76.945837,"suketi khad mandi, Himachal Pradesh, India",True
Binwa At D/S Paprola/Baijnath,2608,32.0525381,76.6348774,"paprola/baijnath, Himachal Pradesh, India",True
