stn_code,monitoring_location,latitude,longitude,2016,2017,2018,2019,2020,2021,2022
4100,"River Suvaranvathi Reservoir, Attigullipura Chamarajanagar",11.9544201,77.1069086,,,,,,River,
4101,"River Gundal At Gundal Reservoir, Kollegala Tq & Chamarajanagara Dist",12.5947183,75.4415106,,,,,,River,
4102,D/S Of Cauvery At Bhagamandala Bridge,12.3813118,75.5157832,,,,,River,,
4102,River Cauvery D/S At Bhagamandala Bridge,12.3813118,75.5157832,,,,,,River,River
4103,"River Cauvery D/S At Kanive Ramalingeswara Temple Bridge, Kushalanagar",12.4585525,75.961437,,,,,,,River
4103,"River Cauvery D/S At Kanive Ramalingeswara Temple Bridge, Kushalnagar",12.4585525,75.961437,,,,,,River,
4104,River Ghatprabha Davalshwar Barrage Jackwell For Drinking Water Supply,12.0093072,76.4070907,,,,,,,River
4107,"River Dakshina Pinakini Near Mugalur Bridge Mugalur, Bengaluru",12.9767936,77.590082,,,,,,River,
4108,River Akravathi Before Confluence At Sangam,13.0059246,77.5789838,,,,,,River,River
4109,Cauvery River Before Confluence At Sangam,13.0059246,77.5789838,,,,River,River,,
4109,River Cauvery Before Confluence At Sangam,13.0059246,77.5789838,,,,,,River,River
4494,River Tungabhadra At Mylara,12.9746645,77.5324339,,,,,,River,River
4497,Kengre Hole (Sirsi),14.6192362,74.8388611,,,,River,,,
4497,River Kengre Hole (Sirsi),14.6192362,74.8388611,,,,,River,,
4499,"Benniothora Dam, Kurkota Village",12.9305838,77.6920571,,,,River,,,
4499,"Benniothora Reservoir,Benniothora Dam, Kurkota Village",12.9305838,77.6920571,,,,,River,,
30051,River Godavari At Baser(Bangalore),12.9767936,77.590082,,,,,,River,River
30052,Cauvery At Ajjibore (Bangalore),12.9767936,77.590082,,,,River,,,
30052,River Cauvery At Ajjibore (Bangalore),12.9767936,77.590082,,,,,,River,River
30054,River Tungabhadra At Hochechalli (Bangalore),12.9767936,77.590082,,,,,,River,River
30055,River Manjeera At Janwada(Bangalore),12.9767936,77.590082,,,,,,River,River
30056,River Krishna At Deodurga (Bangalore),12.9767936,77.590082,,,,,,River,River
30057,River Bhima At Gangapur (Bangalore),12.9767936,77.590082,,,,,,River,River
