monitoring_location,stn_code
"Tubewell Of Hariprasad Pannalal, Bada Talab, Vill- Nani, Tehsil",4794
"Open Well Of Saras Dairy, Vilas, Nh-08, Udaipur",4796
"Borewell Near Main Gate, City Palace, Near Sheetla Mata Temple, Udaipur",4797
"Borewell Of Bsnl Office, Sector-03, Hiran Marg, Udaipur",4798
"Shahid Capt, Chandra Choudhary Park, Bikaner",4803
"Shri Babual Sopatra, Shekho Ki Ddhani Pali",4806
"Shri Mukesh Rajpurohit, Infornt Of Gs-197-A, Punayata Industry Road, Near By National Highway Pali-Jodhpur, Cetp-Iv, Pali",4807
"Shri Khum Singh Rajpurohit, Near Sbi Bank, Riico Phase I&Ii Ind. Area, Pali",4808
"Shri Ranaram, Near Bhanwar Singh Mandli From House Nh-Pali- Sumerpur",4809
"Jet Sagar Lake, Bundi, Rajasthan",2935
"Siliserh Lake, Alwar, Rajasthan",2937
"Rajsamand Lake , Rajsamand- Point No. 1, Rajsamand, Rajasthan",2938
"Rajsamand Lake , Rajsamand- Point No. 2, Rajsamand, Rajasthan",2939
"Jaisamand Lake, Salumber, Udaipur, Point No. 1, Rajasthan",2941
"Jaisamand Lake, Salumber, Udaipur, Point No. 2, Rajasthan",2942
"Nela Talab, Sector-14 Hiran Marg, Udaipur",4795
"Badi Ka Talab, Udaipur",4179
"Narmada Main Canal (Before Entering In Rajasthan State), Tehsil Sanchore, Jalore, Rajasthan",2932
"Gang Canal At Khakka Hear Near Hindumal Kot, Ganganagar, Rajasthan",2933
"Indira Gandhi Feeder At Rajasthan Border, Tehsil- Tibi,",4773
Indira Gandhi Canal At Sirsa Hanumangarh (Rajasthan),30022
"Hemawas Dam, Pali, Rajasthan",2948
"Kali Sindh At Anicut Of M/S Cfcl Gadepan, Kota, Rajasthan",2953
"Kali Sindh At Barod Road Bridge, Kota, Rajasthan",2956
"Dhanari Dam, Near Swaroopganj, Sirohi, Rajasthan",2950
"Near Newta Dam, Jaipur, Rajasthan",2952
"Chhapi Dam Upstream , Jhalawar, Rajasthan",2945
"Ujad At Bhim Sagar Dam Upstream , Jhalawar, Rajasthan",2946
"Chambal Entering In Rajasthan At Gandhi Sagar Dam, Kota, Rajasthan",2955
"Parvati Before Meeting River Chambal At Khatoli, Kota, Rajasthan",2954
"Mahi (D/S) Conf With R. Chap (Under Sagwara- Sarhi Rd. Bdg.), Rajasthan",1232
"Near Uit Bridge, Udaipur",2019
"Near Samshan Vishwakarma Nagar,",2028
"Near Gandhi Bhwan, Ajmer",2029
"Near Khanpura Talab, Ajmer",2032
"Shri Girdhari Singh Choudhary Near Bandi Bridge, Pali Bye Pass Road, Pali, Rajasthan",2965
"Sh. Bhana Ram Kalal, Dharu Nagar, Near Main Mandia Road, Opp. Village Mandia, Pali, Rajasthan",2968
"Hand Pump Near Nevta Tiraha, Nevta",3006
"Riico Tubwell No. 1, Located Near Ganpati Tubes & Fabrication (P) Ltd Sp-A-53(A), Ria, Bhiwadi, Opposite To Wheel'O City At T- Point, Tehsil- Tijara",4774
"Riico Tubewell No. 3 Located On Road Side Close To Indag Rubber And Opposite To Honda Showroom, Neelam Chowk, Bhiwadi, Tehsil-Tijara",4775
"Riico Tubwell No. 27 Located Opposite To Megatech International, G- 1428, Phase-V, Rampur Mundana In Riico Open Area, Bhiwadi, Tehsil- Tijara",4776
"Office Of Assistant Engineer, Jaipur, Vidhut Vitran Nigam Ltd, Riico Ind. Area, Bagru, Tehsil- Sanganer,",4782
"Public Tubewell, Village-Nami, Tehsil",4793
"Tubewell Of Hariprasad Pannalal, Bada Talab, Vill-Nani, Tehsil",4794
"District Collector, Baran",4799
"District Collector, Churu",4800
"District Collector, Dausa",4801
"District Collector, Karauli",4802
"Shri Ranaram, Near Bhanwar Singh Mandli From House Nh-Pali-Sumerpur",4809
Swaroop Sagar Lake,4177
"Goverdhan Sagar, Udaipur",4178
"River Jawai Dam, Sirohi, Rajasthan",2947
"River Hemawas Dam, Pali, Rajasthan",2948
"River Ranakpur Dam, Ranakpur, Pali, Rajasthan",2949
