stn_code,monitoring_location,water_body_type,state,year,safety_label,pollution_score,violated_params,temperature_avg,do_avg,ph_avg,conductivity_avg,bod_avg,nitrate_avg,fecal_coliform_avg,total_coliform_avg,fecal_streptococci_avg
3677,Sharanabaweshwara Kere,Pond/Tank,KARNATAKA,2017,Unsafe,20.5,High BOD,,28.0,6.6,8.0,500.0,17.0,0.0,620.0,2050.0
3679,Bhutanala Lake,Pond/Tank,KARNATAKA,2017,Unsafe,20.77,High BOD,,29.5,8.2,7.9,500.0,19.75,1.71,955.0,1685.0
3680,Killa Lake,Pond/Tank,KARNATAKA,2017,Unsafe,22.36,"High BOD, High Total Coliform",,30.0,7.05,7.75,460.0,2.2,0.885,2950.0,5300.0
3681,Angol Mi Tanl,Pond/Tank,KARNATAKA,2017,Unsafe,29.25,"pH Out of Range, High BOD, High Total Coliform",,28.0,4.9,7.8,500.0,28.9,1.44,5400.0,9600.0
3682,Kakati Pond,Pond/Tank,KARNATAKA,2017,Unsafe,22.24,"High BOD, High Total Coliform",,28.5,8.1,8.6,500.0,9.2,3.09,2780.0,5300.0
3683,Herekere,Pond/Tank,KARNATAKA,2017,Unsafe,29.25,"pH Out of Range, High BOD",,26.0,3.65,7.55,500.0,94.3,3.26,587.5,1800.0
3684,Kelegere,Pond/Tank,KARNATAKA,2017,Unsafe,20.26,High BOD,,27.0,7.25,8.65,500.0,4.85,2.005,310.0,987.5
3685,Navalooru Lake,Pond/Tank,KARNATAKA,2017,Unsafe,20.7,"pH Out of Range, High BOD",,27.0,6.35,8.1,500.0,9.25,1.72,285.0,955.0
3686,Nirasagarakere,Pond/Tank,KARNATAKA,2017,Unsafe,20.06,High BOD,,27.5,7.3,7.85,500.0,4.9,1.09,73.5,215.0
3687,Nuggikere,Pond/Tank,KARNATAKA,2017,Unsafe,20.17,High BOD,,26.5,6.5,8.3,500.0,6.0,1.37,200.0,970.0
3688,Sudanakere,Pond/Tank,KARNATAKA,2017,Unsafe,20.24,High BOD,,27.5,6.95,8.35,500.0,6.25,1.425,287.5,970.0
3689,Someshwarakere,Pond/Tank,KARNATAKA,2017,Unsafe,21.34,"pH Out of Range, High BOD",,26.5,6.2,7.95,500.0,9.2,1.875,515.0,1175.0
3690,Unakalkere,Pond/Tank,KARNATAKA,2017,Unsafe,20.69,High BOD,,27.5,6.95,8.05,500.0,5.8,2.555,855.0,1075.0
3691,Vimanabhuthikere,Pond/Tank,KARNATAKA,2017,Unsafe,20.54,High BOD,,27.5,6.7,7.75,125.0,2.5,0.6,675.0,1570.0
